palette,name,colour,value,number
,Havelock Blue,#4ae2da,,
,Jaffa,#e78e47,,
,Cello,#20435b,,
,Regent Grey,#8c9aa4,,
,French Grey,#cdcdd1,,
,Steel Blue,#4682B4,,
,Lilac,#Bf8AB6,,
,Nobel,#B7B7B7,,
,Black96,#0a0a0a,,
,Black80,#333333,,
polAus,Labor Party,#de2b33,,
polAus,Coalition,#1c4f9c,,
polAus,Greens,#039d3a,,
polAus,One Nation,#ff6c00,,
polAus,United Australia Party,#feed01,,
polAus,Other,#cdcdd1,,
polUK,Labour Party,#d42027,,
polUK,Conservative Party,#2e84c6,,
polUK,Liberal Democrats,#FDBB30,,
polUK,SNP,#FFF95D,,
polUK,Plaid Cymru,#41853e,,
polUK,Reform UK,#00b1da,,
polUK,Other,#cdcdd1,,
polNZ,ACT Party,#FDE401,,
polNZ,Green Party,#098137,,
polNZ,Labour Party,#D82A20,,
polNZ,Maori Party,#B2001A,,
polNZ,National Party,#00529F,,
polNZ,New Zealand First Party,#000000,,
polNZ,Other,#cdcdd1,,
catSimplified,Goblin,#478c5b,1,
catSimplified,Chambray,#374e8e,2,
catSimplified,Zest,#df7c18,3,
catSimplified,Lipstick,#ac004f,4,
catSimplified,Eastern Blue,#1b87aa,5,
catSimplified,Anzac,#e3b13e,6,
catSimplified,Cinnamon,#704600,7,
catExtended,Goblin,#478c5b,1,
catExtended,Chambray,#374e8e,2,
catExtended,Zest,#df7c18,3,
catExtended,Lipstick,#ac004f,4,
catExtended,Fountain Blue,#4fbbae,5,
catExtended,Persian Red,#ce4631,6,
catExtended,Tropical Rain Forest,#006d64,7,
catExtended,Eastern Blue,#1b87aa,8,
catExtended,Anzac,#e3b13e,9,
catExtended,Fuchsia Pink,#ae49a2,10,
catExtended,Martinique,#383751,11,
catExtended,Cinnamon,#704600,12,
catExtended,Sycamore,#93a345,13,
catExtended,Waterloo,#7e7e8f,14,
catExtended,Sisal,#d5cdb9,15,
catExtended,Medium Purple,#a07bde,16,
catExtended,Malibu,#8aabfd,17,
catExtended,Barley Corn,#a08962,18,
seqGreen,,#ded4b8,1,2
seqGreen,,#478c5b,2,2
seqGreen,,#ded4b8,1,3
seqGreen,,#9eb06d,2,3
seqGreen,,#478c5b,3,3
seqGreen,,#ded4b8,1,4
seqGreen,,#b7bb81,2,4
seqGreen,,#80a55f,3,4
seqGreen,,#478c5b,4,4
seqGreen,,#ded4b8,1,5
seqGreen,,#c3c18d,2,5
seqGreen,,#9eb06d,3,5
seqGreen,,#72a05c,4,5
seqGreen,,#488d5b,5,5
seqGreen,,#ded4b8,1,6
seqGreen,,#c3c18d,2,6
seqGreen,,#9eb06d,3,6
seqGreen,,#72a05c,4,6
seqGreen,,#488d5b,5,6
seqGreen,,#31755c,6,6
seqGreen,,#ded4b8,1,7
seqGreen,,#c3c18d,2,7
seqGreen,,#9eb06d,3,7
seqGreen,,#72a05c,4,7
seqGreen,,#488d5b,5,7
seqGreen,,#31755c,6,7
seqGreen,,#225d54,7,7
seqBlue,,#cad8d4,1,2
seqBlue,,#374e8e,2,2
seqBlue,,#cad8d4,1,3
seqBlue,,#689aab,2,3
seqBlue,,#374e8e,3,3
seqBlue,,#cad8d4,1,4
seqBlue,,#85b0b6,2,4
seqBlue,,#5182a1,3,4
seqBlue,,#374e8e,4,4
seqBlue,,#cad8d4,1,5
seqBlue,,#95bbbc,2,5
seqBlue,,#689aab,3,5
seqBlue,,#47769c,4,5
seqBlue,,#374e8e,5,5
seqBlue,,#cad8d4,1,6
seqBlue,,#a0c1c0,2,6
seqBlue,,#78a7b2,3,6
seqBlue,,#598ca5,4,6
seqBlue,,#426e99,5,6
seqBlue,,#374e8e,6,6
seqBlue,,#cad8d4,1,7
seqBlue,,#a7c5c3,2,7
seqBlue,,#84b0b6,3,7
seqBlue,,#6899ab,4,7
seqBlue,,#5082a1,5,7
seqBlue,,#3f6998,6,7
seqBlue,,#374d8e,7,7
seqRed,,#e0d4b1,1,2
seqRed,,#ce4631,2,2
seqRed,,#e0d4b1,1,3
seqRed,,#d8975c,2,3
seqRed,,#ce4631,3,3
seqRed,,#e0d4b1,1,4
seqRed,,#daad75,2,4
seqRed,,#d57f48,3,4
seqRed,,#ce4631,4,4
seqRed,,#e0d4b1,1,5
seqRed,,#dbb783,2,5
seqRed,,#d8975d,3,5
seqRed,,#d47340,4,5
seqRed,,#ce4731,5,5
seqRed,,#e0d4b1,1,6
seqRed,,#dbb783,2,6
seqRed,,#d8975d,3,6
seqRed,,#d47340,4,6
